id,score_smog1,score_smog2,score_smartway
19332,1.0,-1.0,NON
19333,1.0,-1.0,NON
19334,1.0,-1.0,NON
19335,1.0,-1.0,NON
19336,1.0,-1.0,NON
19337,1.0,-1.0,NON
19338,1.0,-1.0,NON
19339,1.0,-1.0,NON
19340,1.0,-1.0,NON
19341,1.0,-1.0,NON
19342,1.0,-1.0,NON
19343,1.0,-1.0,NON
19344,1.0,-1.0,NON
19345,1.0,-1.0,NON
19346,2.0,-1.0,NON
19347,2.0,-1.0,NON
19348,1.0,-1.0,NON
19352,1.0,-1.0,NON
19353,1.0,-1.0,NON
19354,1.0,-1.0,NON
19355,1.0,-1.0,NON
19356,1.0,-1.0,NON
19357,1.0,-1.0,NON
19358,1.0,-1.0,NON
19359,1.0,-1.0,NON
19360,1.0,-1.0,NON
19361,1.0,-1.0,NON
19362,1.0,-1.0,NON
19363,1.0,-1.0,NON
19364,1.0,-1.0,NON
19365,1.0,-1.0,NON
19366,1.0,-1.0,NON
19367,1.0,-1.0,NON
19368,1.0,-1.0,NON
19369,1.0,-1.0,NON
19370,2.0,-1.0,NON
19371,1.0,-1.0,NON
19372,2.0,-1.0,NON
19373,2.0,-1.0,NON
19374,2.0,-1.0,NON
19376,2.0,-1.0,NON
19377,2.0,-1.0,NON
19378,1.0,-1.0,NON
19379,1.0,-1.0,NON
19380,1.0,-1.0,NON
19381,1.0,-1.0,NON
19382,5.0,-1.0,NON
19383,5.0,-1.0,NON
19384,5.0,-1.0,NON
19385,5.0,-1.0,NON
19386,1.0,-1.0,NON
19387,1.0,-1.0,NON
19389,1.0,-1.0,NON
19390,1.0,-1.0,NON
19391,3.0,-1.0,NON
19392,1.0,-1.0,NON
19393,1.0,-1.0,NON
19394,1.0,-1.0,NON
19395,5.0,-1.0,NON
19396,5.0,-1.0,NON
19397,1.0,-1.0,NON
19398,5.0,-1.0,NON
19399,5.0,-1.0,NON
19400,1.0,-1.0,NON
19401,1.0,-1.0,NON
19402,1.0,-1.0,NON
19403,5.0,-1.0,NON
19404,1.0,-1.0,NON
19405,1.0,-1.0,NON
19406,1.0,-1.0,NON
19407,1.0,-1.0,NON
19408,1.0,-1.0,NON
19409,2.0,-1.0,NON
19410,2.0,-1.0,NON
19411,1.0,-1.0,NON
19412,1.0,-1.0,NON
19413,1.0,-1.0,NON
19414,1.0,-1.0,NON
19441,1.0,-1.0,NON
19442,1.0,-1.0,NON
19444,5.0,-1.0,NON
19445,2.0,-1.0,SMARTWAY
19446,2.0,-1.0,SMARTWAY
19447,2.0,-1.0,SMARTWAY
19448,2.0,-1.0,NON
19449,1.0,-1.0,NON
19450,1.0,-1.0,NON
19451,1.0,-1.0,NON
19452,1.0,-1.0,NON
19453,5.0,-1.0,NON
19454,5.0,-1.0,NON
19455,1.0,-1.0,NON
19456,5.0,-1.0,NON
19457,5.0,-1.0,NON
19458,1.0,-1.0,NON
19459,1.0,-1.0,NON
19460,1.0,-1.0,NON
19461,1.0,-1.0,NON
19462,1.0,-1.0,NON
19463,1.0,-1.0,NON
19464,1.0,-1.0,NON
19465,1.0,-1.0,NON
19466,1.0,-1.0,NON
19467,2.0,-1.0,NON
19468,2.0,-1.0,NON
19469,2.0,-1.0,NON
19470,2.0,-1.0,NON
19471,2.0,-1.0,NON
19472,2.0,-1.0,NON
19473,2.0,-1.0,NON
19474,2.0,-1.0,NON
19475,2.0,-1.0,NON
19476,1.0,-1.0,NON
19477,1.0,-1.0,NON
19478,1.0,-1.0,NON
19479,1.0,-1.0,NON
19480,1.0,-1.0,NON
19481,5.0,-1.0,NON
19482,1.0,-1.0,NON
19483,1.0,-1.0,NON
19484,1.0,-1.0,NON
19485,5.0,-1.0,NON
19486,5.0,-1.0,NON
19487,2.0,-1.0,NON
19488,2.0,-1.0,NON
19489,2.0,-1.0,NON
19490,2.0,-1.0,NON
19491,1.0,-1.0,NON
19492,1.0,-1.0,NON
19493,2.0,-1.0,NON
19494,2.0,-1.0,NON
19495,2.0,-1.0,NON
19496,1.0,-1.0,NON
19497,1.0,-1.0,NON
19498,1.0,-1.0,NON
19499,1.0,-1.0,NON
19500,2.0,-1.0,NON
19501,2.0,-1.0,NON
19502,2.0,-1.0,NON
19503,2.0,-1.0,NON
19504,1.0,-1.0,NON
19505,1.0,-1.0,NON
19506,1.0,-1.0,NON
19507,1.0,-1.0,NON
19508,1.0,-1.0,NON
19509,5.0,-1.0,NON
19510,1.0,-1.0,NON
19511,1.0,-1.0,NON
19512,1.0,-1.0,NON
19513,1.0,-1.0,NON
19514,1.0,-1.0,NON
19515,1.0,-1.0,NON
19516,1.0,-1.0,NON
19517,1.0,-1.0,NON
