nom_scientifique,date
Chlamydosaurus kingii,17/10/2016
Macropus agilis,09/10/2013
Petaurus norfolcensis,10/12/2018
Phoca vitulina,24/11/2014
Meleagris gallopavo,19/08/2014
Streptopelia senegalensis,19/06/2018
Varanus salvator,03/10/2019
Phaethon aethereus,08/02/2020
Thamnolaea cinnmomeiventris,03/03/2016
Ratufa indica,05/07/2016
Pituophis melanaleucus,18/10/2013
Tiliqua scincoides,26/10/2019
Dasyurus maculatus,14/07/2013
Pytilia melba,17/08/2013
Falco peregrinus,23/01/2021
Manouria emys,26/02/2015
Ceratotherium simum,26/01/2021
Manouria emys,20/05/2018
Dasypus septemcincus,11/11/2014
Platalea leucordia,03/06/2014
Cereopsis novaehollandiae,19/03/2016
Macaca radiata,13/06/2014
Felis caracal,24/04/2015
Falco mexicanus,01/05/2018
unavailable,27/07/2020
Corvus albicollis,16/03/2018
Macropus fuliginosus,27/05/2013
Felis caracal,18/10/2018
Phoca vitulina,20/10/2017
Drymarchon corias couperi,29/03/2017
Macaca fuscata,03/11/2019
Macaca fuscata,14/01/2017
Haliaetus vocifer,01/01/2016
Anhinga rufa,14/08/2015
Tringa glareola,14/08/2016
Buteo jamaicensis,08/06/2016
Bubo sp.,13/01/2015
Ovis dalli stonei,04/06/2013
Spermophilus lateralis,06/05/2014
Tamiasciurus hudsonicus,28/06/2017
Ictalurus furcatus,05/08/2016
Globicephala melas,27/09/2019
Naja haje,13/06/2015
Nasua narica,21/03/2020
Ctenophorus ornatus,16/04/2019
Geochelone elephantopus,26/06/2014
Hydrochoerus hydrochaeris,06/04/2020
Geochelone elegans,30/11/2014
Physignathus cocincinus,07/09/2016
Semnopithecus entellus,13/05/2019
Taurotagus oryx,08/01/2020
Dusicyon thous,08/10/2018
Zalophus californicus,06/08/2017
Acridotheres tristis,11/06/2019
Dolichitus patagonum,31/12/2020
Dusicyon thous,27/03/2014
Rangifer tarandus,16/06/2019
Spermophilus richardsonii,05/05/2014
Diomedea irrorata,22/10/2013
Milvus migrans,14/07/2019
Papio cynocephalus,11/11/2016
Bubo sp.,09/03/2014
Anastomus oscitans,14/05/2018
Dendrocitta vagabunda,29/09/2014
Castor canadensis,25/01/2017
Vanellus chilensis,27/10/2015
Papio cynocephalus,18/11/2014
Tapirus terrestris,05/11/2013
Toxostoma curvirostre,16/02/2019
Nyctereutes procyonoides,02/07/2017
Chelodina longicollis,15/09/2015
Herpestes javanicus,11/08/2016
Anastomus oscitans,03/04/2021
Mungos mungo,19/05/2014
Speotyte cuniculata,19/10/2015
Nycticorax nycticorax,08/10/2013
Acanthaster planci,17/02/2016
Tursiops truncatus,03/12/2014
Plegadis ridgwayi,15/09/2019
Galago crassicaudataus,01/03/2016
Papilio canadensis,13/01/2016
Plegadis ridgwayi,23/03/2015
Ursus americanus,20/10/2018
Zalophus californicus,02/04/2014
Smithopsis crassicaudata,29/08/2020
Sylvicapra grimma,20/08/2015
Ratufa indica,21/03/2017
Vicugna vicugna,09/11/2017
Didelphis virginiana,14/07/2019
Cereopsis novaehollandiae,12/12/2018
Sterna paradisaea,24/06/2016
Ceratotherium simum,25/08/2015
Numida meleagris,09/12/2017
Felis silvestris lybica,08/01/2017
Canis mesomelas,31/07/2013
Ara macao,29/01/2021
Pteronura brasiliensis,22/04/2018
Climacteris melanura,05/09/2013
Odocoilenaus virginianus,16/08/2020
Rhea americana,25/02/2014
Acridotheres tristis,16/10/2019
Streptopelia senegalensis,29/08/2015
Cebus apella,10/11/2018
Microcavia australis,25/08/2020
Ephippiorhynchus mycteria,14/05/2016
Ceryle rudis,18/04/2015
Martes americana,29/01/2016
Felis chaus,14/05/2018
Castor canadensis,01/08/2017
Eurocephalus anguitimens,03/09/2020
Mazama gouazoubira,18/10/2014
Tayassu pecari,29/12/2020
Sula dactylatra,14/04/2019
Sula dactylatra,16/01/2016
Phascolarctos cinereus,18/07/2016
Macaca mulatta,19/05/2014
Anastomus oscitans,25/11/2013
Lama pacos,02/05/2016
Ara macao,19/09/2019
Cebus apella,22/06/2013
Naja haje,22/01/2015
Balearica pavonina,29/08/2017
Alligator mississippiensis,09/04/2020
Choloepus hoffmani,11/04/2014
Ovibos moschatus,18/05/2016
Oreamnos americanus,06/11/2019
Cynictis penicillata,14/10/2017
Trichoglossus chlorolepidotus,07/03/2021
Milvago chimachima,28/12/2017
Bettongia penicillata,30/07/2016
Dicrurus adsimilis,17/08/2015
Megaderma spasma,21/09/2016
Ara macao,27/03/2018
Terathopius ecaudatus,22/08/2019
Tragelaphus strepsiceros,24/08/2017
Upupa epops,22/03/2015
Columba livia,06/04/2016
Pseudocheirus peregrinus,18/09/2019
Choloepus hoffmani,24/04/2020
Dusicyon thous,17/05/2018
Tadorna tadorna,14/09/2017
Alectura lathami,21/01/2021
Bubo virginianus,01/04/2016
Snycerus caffer,29/12/2013
Acrantophis madagascariensis,07/11/2020
Laniaurius atrococcineus,22/12/2016
Carduelis uropygialis,29/08/2016
Sitta canadensis,05/09/2014
Crocodylus niloticus,31/12/2019
Bettongia penicillata,29/04/2014
Bucephala clangula,11/07/2015
Anitibyx armatus,31/12/2013
Sus scrofa,16/08/2014
Otaria flavescens,15/05/2015
Manouria emys,10/06/2018
Corvus albicollis,26/03/2017
Paraxerus cepapi,15/10/2014
Boselaphus tragocamelus,18/06/2017
Bucorvus leadbeateri,20/01/2014
Bassariscus astutus,13/07/2013
Fregata magnificans,22/05/2016
Spermophilus richardsonii,23/10/2013
Axis axis,01/06/2018
Meles meles,24/05/2017
Acrobates pygmaeus,20/06/2015
Martes americana,15/01/2021
Zonotrichia capensis,30/06/2020
Meleagris gallopavo,22/06/2015
Sula dactylatra,28/10/2018
Anhinga rufa,15/02/2015
Lybius torquatus,25/09/2014
Tragelaphus scriptus,22/09/2015
Vulpes chama,18/02/2016
unavailable,27/12/2015
Ardea golieth,04/10/2016
Ursus arctos,21/06/2020
Chlidonias leucopterus,04/11/2015
Anastomus oscitans,15/06/2013
Limosa haemastica,18/04/2016
Echimys chrysurus,04/02/2015
Francolinus coqui,07/03/2018
Dusicyon thous,15/04/2013
Panthera pardus,14/06/2018
Anas punctata,27/03/2018
Cochlearius cochlearius,06/02/2015
Papio cynocephalus,23/10/2020
Canis dingo,08/08/2016
