nom_scientifique,nom_commun
unavailable,Gecko (unidentified)
Colobus guerza,"Colobus, white-mantled"
Ovis musimon,Mouflon
Casmerodius albus,Great egret
Naja nivea,Cape cobra
Deroptyus accipitrinus,"Parrot, hawk-headed"
Gazella granti,Grant's gazelle
Leprocaulinus vipera,Stick insect
Echimys chrysurus,"Rat, arboral spiny"
Manouria emys,"Tortoise, burmese brown mountain"
Cynictis penicillata,"Meerkat, red"
Neotis denhami,Denham's bustard
Corvus albicollis,"Raven, cape"
Aonyx cinerea,Oriental short-clawed otter
Choloepus hoffmani,"Sloth, two-toed tree"
Panthera pardus,"Leopard, indian"
Hymenolaimus malacorhynchus,"Duck, mountain"
Ara ararauna,"Macaw, blue and gold"
Pseudocheirus peregrinus,Ring-tailed possum
Bubalus arnee,Asian water buffalo
Naja haje,Egyptian cobra
Fratercula corniculata,"Puffin, horned"
Branta canadensis,Canada goose
Alcelaphus buselaphus caama,Red hartebeest
Dusicyon thous,"Fox, savanna"
Gekko gecko,"Gecko, tokay"
Dasyurus maculatus,"Quoll, spotted-tailed"
Tiliqua scincoides,"Lizard, blue-tongued"
Tayassu pecari,White-lipped peccary
Hymenolaimus malacorhynchus,Blue duck
Vanellus chilensis,Southern lapwing
Cracticus nigroagularis,"Bird, black-throated butcher"
Ovis canadensis,American bighorn sheep
Haliaetus leucogaster,White-bellied sea eagle
Eumetopias jubatus,"Lion, steller sea"
Petaurus norfolcensis,Squirrel glider
Damaliscus dorcas,Bontebok
Corvus albicollis,Cape raven
Vulpes chama,"Fox, silver-backed"
Dasyurus maculatus,"Quoll, spotted-tailed"
Ciconia ciconia,"Stork, white"
Tachyglossus aculeatus,"Anteater, australian spiny"
Coluber constrictor foxii,Blue racer
Merops sp.,Bee-eater (unidentified)
Colaptes campestroides,Field flicker
Laniarius ferrugineus,"Boubou, southern"
Vulpes vulpes,North American red fox
Falco mexicanus,"Falcon, prairie"
Columba livia,Rock dove
Melanerpes erythrocephalus,Red-headed woodpecker
Agelaius phoeniceus,"Blackbird, red-winged"
Charadrius tricollaris,"Plover, three-banded"
Eolophus roseicapillus,"Cockatoo, red-breasted"
Spizaetus coronatus,"Hawk-eagle, crowned"
Sceloporus magister,"Lizard, desert spiny"
Cervus elaphus,Red deer
Naja nivea,Cape cobra
