vin,marque,modele,annee,couleur
WAUMR94E98N834507,Land Rover,LR2,2010,Maroon
WBAKX6C53BC748660,Honda,Prelude,1993,Yellow
WAUDH98EX7A913929,Nissan,Frontier,2002,Khaki
1FTMF1E83AK710467,Chevrolet,Astro,2001,Indigo
JH4CL95835C784931,Jeep,Compass,2012,Mauv
JM3ER2A59C0561715,Ford,Focus,2007,Yellow
JHMFA3F25BS111845,Infiniti,G35,2007,Yellow
WBAYA8C56FD527562,Dodge,Grand Caravan,2012,Purple
SCFAD01A78G871093,Dodge,Grand Caravan,1996,Khaki
WAUEFAFL7CN149117,Cadillac,XLR-V,2009,Aquamarine
JTHBL5EF6F5976014,Chevrolet,Camaro,1979,Khaki
5XYZT3LB5DG496393,Mitsubishi,Outlander,2008,Indigo
1HGCR2E79FA058651,Honda,Ridgeline,2008,Pink
SCBFH7ZA3FC771781,Chrysler,Imperial,1992,Green
WAUDF98E26A647519,Ford,F350,1994,Teal
JTEBU5JR5C5777302,Mitsubishi,Eclipse,2006,Purple
SCFBB04B38G200258,Ford,Econoline E150,1996,Puce
19XFA1F26AE733913,Isuzu,Amigo,1994,Crimson
YV1672MC8AJ976877,Volkswagen,Eurovan,1997,Mauv
1G6KF54911U587528,Toyota,MR2,1992,Maroon
5N1AN0NU7DN473240,Mercury,Grand Marquis,2007,Pink
WAUGL98E27A996588,BMW,3 Series,1993,Red
JTHBF1D23F5671522,Ford,Mustang,1964,Aquamarine
5FRYD4H4XEB687209,Toyota,TundraMax,2007,Indigo
SCFFDCCDXAG281989,Cadillac,CTS-V,2006,Mauv
YV1902AH2C1141457,Hyundai,Sonata,2007,Red
ZHWGU5BZ9CL438862,BMW,745,2003,Blue
5N1BA0ND2FN918499,BMW,5 Series,1995,Teal
JHMFA3F26BS978798,Lincoln,Continental,1999,Khaki
1D4RD5GGXBC726836,Mercedes-Benz,300SD,1993,Crimson
WAUUL78E96A674276,Dodge,Durango,2001,Indigo
WAUGFAFC1EN255882,Mercury,Cougar,1997,Fuscia
WAUED54B71N032240,Ford,F350,2004,Aquamarine
5UXFE4C58AL151404,Mazda,B-Series,2008,Pink
SCFHDDAJ2CA181902,Chrysler,Imperial,1992,Turquoise
2B3CL3CG2BH122759,Pontiac,Bonneville,1998,Goldenrod
KNAFX5A80E5992171,Dodge,Daytona,1993,Turquoise
WAUUL68E25A553968,GMC,Yukon XL 1500,2010,Puce
5J8TB18237A394280,Dodge,Ram Wagon B250,1994,Green
2C3CCAGGXEH209895,Toyota,4Runner,2010,Red
1GT022CG9EF696120,Volvo,S40,2003,Violet
3N1AB6AP0AL053169,Audi,5000CS,1987,Teal
1GKMCCE39AR751791,Pontiac,Grand Am,1988,Crimson
1FA6P8AM5F5843439,Mazda,MX-5,2000,Goldenrod
WBA3A9G54FN605065,Mazda,Navajo,1993,Goldenrod
WBAXA5C56FD214215,Volvo,C70,2008,Crimson
JN8AE2KP9F9760013,Cadillac,Seville,1993,Yellow
KNAFT4A29B5041805,Toyota,MR2,1985,Indigo
3D73Y3HL6BG574001,Lexus,GX,2003,Orange
WBAVD33546K397421,GMC,Sierra 1500,2000,Crimson
1FTWF3A57AE446863,Audi,R8,2008,Blue
WBS3R9C51FK041757,Suzuki,Equator,2011,Red
WBABN33481J791722,Land Rover,Range Rover,1990,Yellow
1N6AA0CA3FN932952,Dodge,Challenger,2009,Orange
WAUJC68E55A731536,Dodge,Aries,1981,Fuscia
1G4HR54K434605066,Toyota,Sienna,2011,Pink
WA1LYAFE7AD466740,Volvo,XC90,2011,Purple
SCBZB25E92C409779,Honda,Prelude,1994,Red
3GYFNAE33DS588487,Ferrari,458 Italia,2011,Indigo
1FTEX1CM9CF147485,Oldsmobile,Silhouette,2003,Puce
KMHFG4JG6EA967220,Volkswagen,Golf,2003,Puce
1G6KP5ES5BU634057,Pontiac,Grand Prix,1967,Pink
1VWAS7A34FC606065,Aston Martin,DBS,2010,Purple
2G4GX5GVXB9265392,Lexus,LS,1992,Blue
TRURD38J891766128,Chevrolet,Avalanche 1500,2006,Violet
1G6DX67D160179847,BMW,M6,2007,Puce
1B3CB9HA7AD404465,BMW,X6,2009,Khaki
WA1LGAFE7DD830677,Buick,Regal,2001,Turquoise
JM3TB2BA4F0658851,Mercedes-Benz,M-Class,2000,Green
